date,all,no_mask,no_mask_ratio
2023-03-20 10:00:00,150,15,0.1
2023-03-21 12:00:00,375,63,0.168
2023-03-21 21:00:00,86,25,0.29069767441860467
2023-03-22 10:00:00,129,39,0.3023255813953488
2023-03-22 22:00:00,357,123,0.3445378151260504
2023-03-23 10:00:00,311,80,0.2572347266881029
2023-03-23 23:00:00,516,202,0.39147286821705424
2023-03-24 18:00:00,470,83,0.17659574468085107
2023-03-24 22:00:00,327,125,0.382262996941896
2023-03-25 11:00:00,521,161,0.30902111324376197
2023-03-25 18:00:00,332,116,0.3493975903614458
2023-03-25 22:00:00,451,147,0.3259423503325942
2023-03-26 16:00:00,449,181,0.40311804008908686
2023-03-26 21:00:00,419,188,0.4486873508353222
2023-03-27 19:00:00,232,64,0.27586206896551724
2023-03-27 23:00:00,219,82,0.3744292237442922
2023-03-28 22:00:00,365,95,0.2602739726027397
2023-03-29 11:00:00,245,49,0.2
2023-03-29 22:00:00,652,254,0.3895705521472393
2023-03-30 13:00:00,522,156,0.2988505747126437
2023-03-31 10:00:00,334,90,0.2694610778443114
2023-03-31 22:00:00,787,313,0.397712833545108
2023-04-01 14:30:00,664,323,0.4864457831325301
2023-04-01 21:00:00,109,45,0.41284403669724773
2023-04-02 14:00:00,303,100,0.33003300330033003
2023-04-03 12:30:00,372,128,0.34408602150537637
2023-04-04 10:00:00,348,136,0.39080459770114945
2023-04-04 20:30:00,66,29,0.4393939393939394
2023-04-05 12:00:00,392,124,0.3163265306122449
2023-04-05 18:00:00,678,428,0.6312684365781711
2023-04-06 10:00:00,298,107,0.35906040268456374
2023-04-07 15:30:00,689,253,0.3671988388969521
2023-04-07 17:30:00,344,114,0.3313953488372093
2023-04-08 17:30:00,303,92,0.30363036303630364
2023-04-08 23:00:00,359,169,0.47075208913649025
2023-04-08 23:50:00,206,132,0.6407766990291263
